agglosID,Agglomeration_Name,ISO3,x,y,Population_2015,ESA_LC_Open_green,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020
1,10 Ramadan,EGY,31.741,30.288,158515,0.007779793,39.27325,40.85083,44.33817,43.8135,41.42411,46.27853,43.24989,40.10303,43.45184,42.79902,40.35876,45.57649,48.41287,43.09629,43.47039,46.15932,43.52375,44.71507,43.04959,44.4412,45.06335,45.93743,38.59727
4,42nd Hill,ZAF,29.112,-28.244,17893,0.311860639,26.55768,25.7532,27.1375,28.18308,29.40358,28.7988,27.46115,29.09593,29.95501,29.01875,29.42808,30.90362,30.86302,28.63858,26.91284,26.45475,24.72344,26.1798,24.98723,28.81004,27.30239,26.43225,26.08106
5,Aabudwaaq,SOM,46.217,6.251,75100,0.381115522,12.39858,16.6552,16.05204,14.15412,15.58736,16.47953,16.01147,16.36112,16.64828,15.66838,15.90024,16.67424,15.4778,16.00045,17.03994,17.07066,14.78463,14.47835,14.3143,16.25187,16.83158,15.78318,17.27461
6,Aadado,SOM,46.631,6.137,60300,0.341922243,13.43105,19.6952,20.06738,17.07878,18.3208,18.80409,18.75822,19.14674,19.74528,18.93861,19.99544,20.95732,19.76981,20.19583,21.3296,20.22397,17.96413,18.34855,18.35868,20.35209,21.02762,20.60692,21.08548
8,Aasalaya,SDN,32.717,13.244,20167,0.444240479,39.51869,34.9051,37.45566,36.54014,39.74068,43.07639,43.70543,42.91464,40.54125,43.97736,39.48134,45.18386,42.83687,47.89051,43.09548,45.87193,36.72652,43.38558,41.86354,43.60655,40.07213,40.909,40.68669
9,Aba,NGA,7.357,5.224,1687158,0.782032072,48.05346,34.75257,49.48367,45.92453,49.55028,43.33987,46.02517,44.31441,40.93188,45.19235,53.29136,41.41453,43.44696,44.94462,42.6907,39.96178,40.1865,47.06894,46.44083,45.03965,42.43729,43.19724,47.77154
11,Aba al-Waqf,EGY,30.77,28.588,47881,0.021031873,46.11607,44.93843,50.62375,47.13903,45.56141,48.19316,46.78197,42.24839,45.54048,46.71451,45.83905,50.01678,52.465089999999996,46.41101,49.123779999999996,51.93344,49.20324,53.02352,53.04369,53.13147,52.16641,53.2001,45.68526
14,Abadla,DZA,-2.709,31.029,13494.39156,3.71e-4,27.99649,30.70025,30.78944,30.96652,30.57222,28.35987,30.14885,30.63675,28.32734,25.90784,29.65241,25.20903,36.1832,28.96281,25.80192,30.11412,31.39983,30.03998,30.14922,31.66421,30.90565,27.58571,28.42084
15,Abaji,NGA,6.952,8.471,63838,0.230854935,70.92912,47.47539,64.7649,61.494,60.46778,56.79866,61.65287,53.13736,50.92123,59.55751,65.7548,56.87252,54.2407,55.68452,56.84258,49.37973,45.9527,59.59187,60.70525,61.34873,56.1499,55.95725,59.65987
17,Abakaliki,NGA,8.098,6.288,354397,0.459916069,43.54355,30.69721,38.91628,38.04939,37.08238,33.46724,33.57541,34.87023,34.082,36.88506,40.05212,32.74017,31.87645,31.78612,31.18908,29.29902,29.37873,34.10055,32.51028,31.89388,28.52291,29.22436,29.37261
18,Abala,ETH,39.754,13.357,17100,0.523614603,16.60565,18.70361,26.45551,25.03863,27.15662,29.29043,29.1326,30.0139,28.96503,29.75319,30.38235,29.0022,31.11153,34.10575,35.1086,35.23677,31.13975,35.12991,32.69252,36.32131,34.3012,33.60469,33.00558
19,Abala Maidagi,NER,3.43,14.929,15071,0.331507048,44.81075,40.08794,47.04118,42.96678,49.21206,45.16267,57.91719,54.68287,50.89043,62.33556,55.32595,49.50832,54.66211,55.95725,48.80761,44.56463,47.84089,56.10938,55.52573,49.72764,44.82778,40.64949,43.97881
20,Abalak,NER,6.283,15.46,25197,0.084437132,52.00364,49.56355,59.1935,52.35223,58.23101,55.45326,68.38855,59.30634,59.49074,67.36321,61.34649,54.95072,62.78439,62.43509,53.66117,51.50381,55.27725,66.24353,66.73199,63.30695,56.32417,51.01951,53.08891
22,Abbi,NGA,6.231,5.729,10740,0.506606341,51.6497,37.14981,52.52586,48.45347,52.04034,44.84383,47.94556,48.6888,43.28891,47.39848,55.03548,43.90255,45.17248,46.9702,44.17798,38.40483,39.84546,46.75673,47.77854,45.13069,42.12002,42.79824,50.82504
23,Abdelmalek Ramdane,DZA,0.275,36.107,11046.99773,0.218116567,14.33819,15.27574,14.12498,13.85004,12.50183,13.66234,13.8092,13.1075,13.71271,14.12382,12.76767,13.02711,11.65867,11.33294,11.97045,10.63184,10.64426,11.6675,11.23645,12.21258,11.79579,11.37329,11.55874
24,Abderafi,ETH,36.47,13.699,17000,0.817148786,24.66758,19.00225,24.25585,25.91309,29.12482,28.11932,27.24298,29.74096,26.52318,30.08443,26.47706,29.91114,30.30717,32.4595,28.45614,30.14879,25.4299,30.69251,30.09155,34.07581,31.71559,31.13455,32.02682
26,Abduka,NGA,4.319,8.268,10425,0.23504556,62.88668,45.44997,57.34526,52.69186,50.66872,49.19495,53.76025,46.23139,42.99145,51.47094,55.46899,43.23234,42.94351,48.58668,46.44835,40.05098,38.91163,49.09495,48.91116,47.29381,45.06711,41.70013,43.79233
28,Abengourou,CIV,-3.497,6.74,108296,0.280269052,18.36074,15.23116,26.04668,24.67558,24.47669,24.50801,27.21223,24.4261,22.97989,28.01918,29.97605,26.22821,22.66681,25.97536,24.27077,19.76735,19.59892,25.29655,23.12772,21.89162,21.0536,19.22338,21.17919
29,Abeokuta,NGA,3.377,7.17,747542,0.290219186,39.55769,26.58714,40.4151,35.28107,35.35633,36.72904,41.33808,38.31042,35.67971,40.63338,45.80128,36.00924,33.53072,37.03461,35.54728,29.39947,28.92296,38.35563,39.37289,39.84588,34.6509,33.52432,37.43157
30,Abetifi,GHA,-0.745,6.673,11733,0.570145154,39.04737,31.58834,46.94393,40.70181,39.49503,37.54548,39.5288,36.51044,36.17027,41.57018,43.42312,37.40161,35.82085,36.909910000000004,34.6768,30.25818,32.36293,38.38873,38.09079,38.57121,33.05236,33.75346,35.55114
32,Abidjan,CIV,-3.949,5.368,4717347,0.151222268,18.6251,13.57515,22.8689,18.84697,20.1994,19.51176,23.13355,20.93847,19.32001,23.19034,24.20791,21.61117,19.22801,22.59521,21.3441,17.16689,17.55976,24.90262,21.40621,21.29575,20.69305,19.09332,20.35465
34,Abinsi,NGA,8.747,7.751,10272,0.331926878,78.63779,56.89855,76.71085,70.18423,69.48804,70.51235,71.74387,69.00367,63.86978,65.10036,82.30924,70.37658,61.68024,65.64391,60.13181,60.55416,55.30984,70.22388,68.89693,76.52851,67.29292,68.49429,77.38466
35,Abiriba,NGA,7.735,5.702,43965,0.523562058,35.49236,23.95782,35.30373,33.34813,34.23023,31.22515,31.60234,30.36005,27.80149,31.98586,37.23051,29.28099,30.62072,29.5618,30.10263,26.95278,27.43744,31.10938,31.0473,32.59486,28.43868,29.6853,32.61465
39,Abiyot Fana,ETH,37.167,11.326,11958,0.453301178,9.9006,8.48448,13.94048,17.98797,19.37268,19.02317,18.6577,18.99037,18.08404,19.68931,17.76793,18.17446,20.30181,20.80073,19.64372,21.10754,18.68097,22.91038,21.58925,22.51109,20.63403,20.02037,21.67689
44,Abofour,GHA,-1.734,7.132,11339,0.276920241,28.9844,25.73009,40.08832,32.10262,32.69925,30.57834,36.94104,31.59105,30.08207,36.8486,37.21716,33.36782,28.59755,32.72906,30.14618,25.76528,25.89353,31.78237,31.55485,32.49723,28.18124,29.25856,28.41978
45,Abogwa,NGA,3.713,6.643,26292,0.481939239,38.61292,25.74271,45.48706,37.34406,38.22033,35.87595,39.47364,35.80467,33.82092,36.8427,46.35202,35.70763,34.25222,36.46578,36.44682,28.52591,29.15624,37.12888,38.77121,37.50018,32.42862,31.08596,39.56841
46,Aboisso,CIV,-3.205,5.469,46954,0.384557073,19.66805,13.76289,24.66626,20.68517,23.78132,21.19197,26.46582,23.51057,20.61415,25.64186,28.88399,23.87236,22.46144,25.63768,24.46738,19.38363,19.57842,26.35678,23.56825,22.17413,21.14309,19.81004,22.78022
47,Aboisso-Comoe,CIV,-3.404,5.735,16378,0.149276549,16.88393,12.20296,22.67812,19.87083,23.04673,19.99567,23.47949,21.90222,20.10222,24.43583,27.62992,23.01174,20.49197,23.96428,23.56416,18.95527,18.58656,25.18161,22.10778,21.21892,20.35538,19.14884,21.24082
48,Abolou,BEN,2.136,6.847,11890,0.595578873,29.52917,21.8417,33.49079,29.91969,30.72218,33.16466,35.87333,32.75049,31.43305,35.94723,38.96433,30.215,26.82219,30.07735,30.17231,23.41513,24.23658,33.2634,32.72773,34.99514,28.25464,26.99883,31.0627
49,Abomey,BEN,2.062,7.185,256757,0.399069973,29.72306,22.629,32.58148,31.26315,34.33739,34.85416,38.3511,35.43782,33.44976,38.87691,43.97956,34.28431,29.60846,32.36612,31.31702,25.66458,25.59899,35.75793,34.62691,35.29408,29.98544,27.10448,32.16877
51,Abomsa,ETH,39.833,8.489,21500,0.309208007,6.281014,7.485197,14.09335,18.69852,19.09427,19.83974,19.23314,19.70875,21.10833,21.48503,22.29557,22.61334,23.99436,22.80853,23.86158,25.16766,22.71465,25.12194,23.55956,23.67738,23.14026,21.86789,24.72433
53,Abongoua,CIV,-4.105,6.657,10696,0.308598848,17.44629,14.62086,24.53649,23.8345,24.04687,22.98324,25.75187,23.30185,22.80087,27.39414,29.98515,25.31961,21.46012,24.86394,24.34043,19.80565,18.99348,25.90466,22.53817,21.03143,20.6951,19.20255,19.38656
54,Abonnema,NGA,6.767,4.752,23616,0.474378633,44.28901,31.13474,50.28096,41.91365,42.66913,37.33177,38.31537,35.98309,33.44552,35.49001,45.82132,34.8465,37.1409,36.90107,36.33948,33.53578,33.85468,41.12521,40.97475,39.36615,36.44794,36.61447,41.22152
55,Abora,ETH,37.029,9.986,13501,0.103304358,9.40389,7.902925,13.03998,17.58577,18.27357,17.68273,16.62892,18.55748,17.88543,19.42531,17.90327,17.93394,20.02863,20.82095,19.63167,20.10338,17.55283,20.98603,18.86169,19.45323,17.16607,16.25085,17.97636
56,Aboso,GHA,-1.947,5.359,16143,0.444443095,19.6564,12.31286,23.70311,20.05685,23.34482,21.06137,25.82303,23.33916,19.70392,25.17207,28.52054,23.15951,21.55795,24.98706,24.05843,17.97149,18.37264,23.74858,21.39417,21.76605,19.59936,17.6591,22.31971
57,Abou El Hassan,DZA,1.187,36.42,16049.69189,0.224490719,14.10383,13.90955,13.92459,13.7755,13.09171,13.58445,13.08111,13.30998,14.25692,14.72308,13.78735,13.59282,12.15459,11.98889,12.96033,11.15764,10.66232,11.48096,10.95841,12.1945,11.24576,11.34275,11.31809
58,Aboude-Kouassikro,CIV,-4.565,5.897,11756,0.365343314,15.63743,12.62733,20.97705,20.38999,23.70438,21.69854,24.17919,23.13336,21.65013,25.04778,27.50443,23.66175,20.00446,22.80704,23.45362,18.8944,17.88228,24.51546,21.9382,21.34757,20.29829,19.71728,21.42236
60,Abraka,NGA,6.108,5.79,101811,0.347037374,49.5346,35.81609,52.25531,46.62727,51.29993,44.20134,49.79915,46.87022,43.1244,46.44341,55.34766,43.15428,43.29123,46.35408,43.43208,37.85889,39.54921,45.685,48.26016,46.30378,41.41893,40.53963,48.60375
61,Abshadat,EGY,30.729,27.846,68912,0.054071399,48.49743,46.46196,50.29839,46.52671,46.43186,48.08531,46.54135,42.54633,44.61975,46.67487,45.61534,49.75438,53.19152,46.19146,48.24487,50.24049,46.23271,50.67397,51.44717,50.87931,49.63416,51.17854,43.62703
62,Abshan,EGY,31.165,31.173,24932,0.018667722,29.53742,28.77902,31.15235,29.70009,30.839,32.45681,32.44964,29.68863,35.12624,32.06916,32.07558,34.22879,37.73227,32.72509,34.39045,35.02433,33.25206,34.49314,32.94622,33.44752,34.21119,35.36005,29.88009
63,Abshaway,EGY,30.683,29.374,105683,0.082971373,43.914,43.41208,48.19307,45.02996,41.49199,46.01829,44.52041,39.65616,44.58082,43.61581,43.65497,47.78569,49.58104,44.15125,46.73611,48.73861,46.90271,48.73204,48.47925,48.07858,48.52795,49.69391,41.10665
64,Abshina & Bani Musa,EGY,31.051,29.144,20328,0.026598547,47.09719,46.30466,52.15742,49.40042,46.03642,50.29768,47.90492,42.39596,46.68722,46.97066,46.07362,50.30886,52.61141,47.24649,50.34652,53.36974,50.6954,53.03998,53.89589,53.51901,53.32511,53.63164,45.76561
65,Absug,EGY,30.89,28.852,13824,0.007638721,46.95447,46.40277,52.15977,49.01169,46.35986,50.10804,48.00479,42.90316,46.25071,46.75134,46.04806,50.39913,52.10693,46.60241,49.74104,52.19259,49.1413,52.09072,53.03827,52.74619,52.34694,52.99789,44.74519
71,Abu al-Matamir,EGY,30.222,30.9,72048,0.030507974,33.99704,33.43794,36.58562,34.27465,33.98626,39.01377,36.65188,33.14411,37.44755,35.39643,34.93743,38.47225,41.79256,35.35032,37.68907,37.97579,35.72999,37.04825,36.76406,37.25992,38.23551,38.15505,32.63252
73,Abu al-Rish Bahri,EGY,32.884,24.19,24261,0.008606499,53.37894,50.49406,57.44608,53.44745,55.51744,52.80686,53.98482,50.99017,50.01795,53.36563,50.07924,49.85918,54.18525,47.01682,48.77286,52.67192,45.31808,49.2845,51.20047,49.90448,51.16682,51.10499,50.14084
74,Abu al-Shiqaf,EGY,30.413,30.885,18325,0.048871281,34.6925,33.77746,37.34805,34.63888,34.03162,38.93818,36.92883,33.27516,38.0416,35.4764,35.2891,38.31956,41.9373,35.71876,38.13849,38.54787,36.97095,37.88408,36.82735,37.38427,38.27979,38.14113,32.15652
75,Abu al-Shuquq,EGY,31.601,30.829,16256,0.018296096,33.29572,34.21825,36.63322,37.22065,36.03284,40.21894,38.28002,35.88111,41.01523,39.51933,38.12002,41.80621,45.052,40.8097,41.54098,43.64995,41.27292,42.70161,40.53091,41.77266,42.59532,42.63389,36.59573
79,Abu Danqash,EGY,30.678,29.291,14723,0.018653202,45.81426,45.01468,50.06572,46.78753,43.35941,48.21494,46.44715,41.2198,46.54203,45.49798,45.20573,49.39202,51.26944,45.49858,48.38446,50.48412,48.0141,50.18771,50.10627,49.5355,49.82954,51.02552,42.58958
